,Artist Reputation,Height,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost
36,,32.0,Brass,221.515,37.46,No,No,No,,No,Working Class,No,643.52
37,,46.0,Brass,198.45,70.06,No,No,No,Waterways,No,Working Class,Yes,937.75
38,0.16,26.0,Clay,9.2,14.09,Yes,Yes,No,Airways,Yes,Working Class,Yes,268.35
39,0.58,15.0,Stone,86.41,88.26,No,Yes,No,,No,Working Class,No,-1267.4912499999998
40,0.58,44.0,Bronze,162.13,39.71,No,No,Yes,Waterways,No,Wealthy,No,1088.73
41,0.36,57.0,Aluminium,6.23,24.87,Yes,No,Yes,Waterways,No,Wealthy,No,391.29
42,0.49,13.0,Marble,54.44,64.12,Yes,No,Yes,Waterways,No,Working Class,,997.3
43,0.53,37.0,Aluminium,5.72,24.16,No,No,Yes,Waterways,No,Working Class,No,410.64
44,,33.0,Stone,221.515,48.92,No,Yes,Yes,Roadways,No,Wealthy,No,2621.29875
45,0.77,12.0,Clay,3.85,13.16,No,No,Yes,Roadways,Yes,Working Class,Yes,283.1
46,0.37,30.0,Brass,87.19,76.47,No,No,No,Waterways,No,Working Class,Yes,1249.53
47,0.81,4.0,Brass,4.43,17.42,No,Yes,No,,No,Working Class,No,-220.28
48,0.62,34.0,Aluminium,13.06,23.72,Yes,No,Yes,Airways,No,Working Class,No,534.16
49,0.84,23.0,Bronze,10.43,35.11,Yes,No,No,Waterways,No,Wealthy,Yes,1014.51
50,0.75,7.0,Stone,12.04,21.32,No,No,No,,No,Working Class,Yes,315.04
51,0.44,23.0,Wood,4.37,24.29,No,Yes,No,Airways,No,Working Class,No,258.27
52,0.75,19.0,Stone,221.515,67.63,No,No,No,Roadways,No,Working Class,No,2065.65
53,0.62,10.0,Marble,21.41,45.41,No,No,No,Waterways,No,Working Class,No,523.57
54,0.22,13.0,Bronze,11.41,11.28,No,No,No,Airways,No,Working Class,,146.64
55,0.96,6.0,Brass,3.6,21.94,No,No,Yes,,No,Working Class,,367.23
56,0.5,25.0,Marble,221.515,86.33,Yes,Yes,Yes,Airways,No,Working Class,No,2621.29875
57,0.33,29.0,Clay,4.28,10.77,No,No,No,Airways,Yes,Working Class,Yes,193.5
58,0.38,18.0,Clay,6.06,18.38,Yes,No,Yes,Waterways,Yes,Wealthy,No,324.36
59,0.6,32.0,Wood,6.14,21.13,No,No,Yes,Roadways,No,Working Class,Yes,482.92
60,0.5,12.0,Clay,3.33,10.9,No,No,Yes,,Yes,Working Class,No,184.25
61,,16.0,Marble,35.54,83.12,No,No,No,Roadways,No,Wealthy,No,517.38
62,0.64,46.0,Wood,9.98,12.78,No,No,Yes,Roadways,No,Working Class,No,896.17
63,0.63,5.0,Wood,6.48,13.47,No,Yes,Yes,Roadways,No,Working Class,Yes,-269.14
64,0.97,,Clay,37.23,18.96,Yes,Yes,Yes,Airways,Yes,Working Class,No,2621.29875
65,0.36,26.0,Clay,6.32,13.61,No,No,No,Roadways,Yes,Working Class,No,213.89
66,0.73,3.0,Clay,6.96,12.06,Yes,Yes,No,Airways,Yes,Wealthy,Yes,347.26
67,0.2,14.0,Brass,5.28,96.37,Yes,No,Yes,,No,Working Class,,572.47
68,0.78,,Aluminium,3.19,17.16,No,No,No,Roadways,No,Working Class,,287.52
69,0.02,21.0,Brass,23.53,37.36,No,No,Yes,Roadways,No,Wealthy,No,301.34
70,0.27,8.0,Aluminium,4.83,21.14,Yes,No,Yes,Waterways,No,Working Class,No,168.22
71,0.85,6.0,Marble,8.7,23.95,Yes,Yes,Yes,,No,Working Class,No,1274.44
72,0.63,7.0,Brass,6.61,12.04,No,Yes,No,Airways,No,Working Class,Yes,-281.72
73,0.87,10.0,,3.04,10.54,Yes,No,No,Airways,No,Wealthy,No,262.52
74,0.96,10.0,Marble,57.53,73.82,No,No,Yes,Waterways,No,Working Class,No,2541.05
75,0.47,,Bronze,12.83,19.77,Yes,Yes,No,Airways,No,Working Class,Yes,352.98
76,0.86,32.0,Wood,3.87,16.36,No,Yes,No,,No,Working Class,No,628.91
77,0.28,23.0,Aluminium,5.51,15.44,Yes,No,No,Roadways,No,Working Class,No,205.88
78,0.01,,Stone,60.03,78.81,Yes,No,No,,No,Wealthy,Yes,589.61
79,0.97,18.0,Clay,18.43,21.96,No,Yes,No,,Yes,Working Class,,1207.78
80,0.52,20.0,,128.72,25.93,No,No,No,,No,Working Class,No,733.08
81,0.4,51.0,Wood,4.96,13.94,No,No,Yes,Roadways,No,Working Class,Yes,230.67
82,0.1,4.0,Marble,5.77,13.16,No,No,No,Waterways,No,Working Class,No,174.0
83,0.12,26.0,Wood,3.5,16.83,Yes,No,Yes,Waterways,No,Working Class,No,-140.38
84,0.76,23.0,,3.16,24.46,No,Yes,No,Airways,No,Working Class,Yes,541.05
85,0.56,23.0,Marble,221.515,54.33,No,No,Yes,Roadways,No,Wealthy,No,2621.29875
86,0.17,17.0,Bronze,4.23,17.58,No,Yes,No,,No,Working Class,No,161.23
87,0.96,9.0,Brass,3.99,11.51,Yes,Yes,Yes,Airways,No,Working Class,No,366.0
88,0.02,36.0,Aluminium,7.5,56.81,No,Yes,No,,No,Working Class,No,-247.25
89,0.44,19.0,Wood,6.9,22.65,No,No,No,Roadways,No,Wealthy,No,270.81
90,0.33,25.0,Clay,5.38,20.76,No,No,No,Roadways,Yes,Working Class,No,244.03
91,0.4,18.0,Stone,221.515,88.08,Yes,No,Yes,Waterways,No,Working Class,No,2285.21
92,0.95,16.0,Clay,3.59,16.41,Yes,No,No,Waterways,Yes,Working Class,No,429.87
93,0.76,17.0,Stone,186.51,33.71,No,No,Yes,Roadways,No,Working Class,Yes,1162.57
94,0.78,3.0,Stone,5.61,18.72,No,No,Yes,,No,Working Class,,296.28
95,0.58,32.0,Clay,5.57,17.76,No,Yes,No,,Yes,Working Class,Yes,550.77
96,0.17,40.0,Clay,30.41,84.43,Yes,Yes,Yes,Airways,Yes,Wealthy,Yes,1154.39
97,0.26,33.0,Aluminium,6.9,16.53,No,No,No,Waterways,No,Working Class,No,171.09
98,0.97,19.0,Marble,221.515,67.49,Yes,No,Yes,Roadways,No,Wealthy,No,2621.29875
99,0.87,35.0,Brass,221.515,67.67,No,No,No,Roadways,No,Working Class,No,2621.29875
100,0.76,37.0,Marble,221.515,72.27,Yes,No,No,Roadways,Yes,Working Class,,2621.29875
101,0.53,24.0,Aluminium,5.35,22.95,No,Yes,Yes,,No,Working Class,,384.78
102,,11.0,Brass,8.15,11.0,No,No,Yes,,No,Wealthy,No,297.06
103,0.69,23.0,,221.515,33.31,No,No,Yes,Roadways,No,Working Class,No,2621.29875
104,0.01,28.0,,4.52,10.62,No,No,Yes,Roadways,No,Working Class,Yes,140.9
105,0.2,21.0,,3.98,17.05,No,No,Yes,,No,Working Class,,169.96
106,0.82,16.0,Stone,221.515,59.84,No,No,No,Roadways,No,Working Class,No,2621.29875
107,0.11,12.0,Wood,3.19,24.32,No,Yes,No,Roadways,No,Working Class,No,143.13
108,0.38,20.0,Stone,221.515,75.46,No,Yes,No,Roadways,No,Wealthy,Yes,2621.29875
109,0.33,11.0,Wood,4.0,19.9,No,Yes,No,Airways,No,Working Class,No,166.87
110,0.35,21.0,Clay,4.36,24.09,No,No,Yes,Roadways,Yes,Wealthy,Yes,332.39
111,0.46,33.0,Stone,221.515,41.85,Yes,Yes,No,Airways,No,Working Class,Yes,-1267.4912499999998
112,0.77,21.0,Clay,8.0,15.9,No,Yes,Yes,Airways,Yes,Wealthy,No,1288.09
113,0.2,15.0,Wood,6.24,12.64,No,Yes,No,Airways,No,Working Class,Yes,132.0
114,0.3,19.0,Aluminium,6.59,13.79,No,No,No,Roadways,No,Working Class,No,153.01
115,0.6,17.0,Marble,127.41,65.36,No,No,Yes,Airways,No,Working Class,No,1086.74
116,0.15,10.0,Aluminium,5.21,12.76,No,No,No,Roadways,No,Working Class,No,101.81
117,0.73,22.0,,221.515,84.21,Yes,Yes,No,Airways,No,Wealthy,No,-1267.4912499999998
118,0.62,24.0,Aluminium,8.19,11.67,No,No,No,Airways,No,Working Class,No,-452.77
119,0.65,6.0,,31.52,16.61,Yes,Yes,No,Airways,No,Wealthy,No,-496.11
120,0.72,13.0,Clay,6.94,10.14,No,No,No,Roadways,Yes,Working Class,No,288.53
121,0.75,35.0,Stone,221.515,71.11,No,Yes,Yes,,No,Wealthy,No,2621.29875
122,0.09,35.0,Marble,221.515,61.01,Yes,No,Yes,Roadways,No,Working Class,No,2621.29875
123,0.87,24.0,Aluminium,5.9,21.92,No,Yes,Yes,,No,Wealthy,Yes,957.36
124,0.55,31.0,Wood,4.08,10.01,Yes,No,Yes,Airways,No,Working Class,,230.4
125,,19.0,Bronze,5.88,12.29,No,Yes,No,Airways,No,Wealthy,No,301.75
126,0.77,10.0,Bronze,5.28,23.04,No,No,No,Roadways,No,Working Class,No,-420.24
127,0.25,10.0,Wood,3.46,10.41,No,Yes,No,Airways,No,Wealthy,No,105.03
128,0.74,,Wood,6.35,23.74,No,No,Yes,Roadways,No,Working Class,No,728.52
129,0.28,9.0,Wood,5.05,15.75,No,No,No,,No,Wealthy,No,146.42
130,0.93,27.0,Wood,3.53,17.83,Yes,No,Yes,Waterways,No,Working Class,No,799.92
131,0.75,11.0,Aluminium,3.1,16.54,Yes,No,Yes,Waterways,No,Wealthy,Yes,374.19
132,0.97,7.0,Wood,5.21,23.7,Yes,Yes,Yes,Airways,No,Working Class,No,500.74
133,0.63,28.0,Aluminium,11.76,19.67,No,No,No,Waterways,No,Working Class,No,391.74
134,0.43,20.0,Brass,11.74,20.24,Yes,No,No,Waterways,No,Working Class,No,264.58
135,0.27,31.0,Marble,221.515,85.23,Yes,Yes,No,Airways,No,Working Class,No,2621.29875
136,0.41,3.0,Stone,4.84,14.67,No,No,No,Airways,No,Working Class,No,188.14
137,0.56,22.0,,6.52,10.28,Yes,Yes,Yes,Airways,No,Wealthy,Yes,429.06
138,0.15,35.0,Aluminium,5.39,10.73,No,No,No,Roadways,No,Working Class,No,124.89
139,0.98,12.0,Clay,3.99,14.35,No,No,Yes,Airways,Yes,Working Class,No,445.66
140,,18.0,Bronze,16.96,19.22,Yes,No,No,Waterways,No,Working Class,Yes,240.56
141,0.19,40.0,Brass,127.31,88.48,No,No,No,Airways,No,Working Class,Yes,1250.05
142,0.4,17.0,Aluminium,6.39,12.63,No,No,No,Waterways,No,Working Class,No,165.52
143,0.89,9.0,Stone,3.4,20.78,No,Yes,Yes,Airways,No,Wealthy,No,541.99
144,0.71,20.0,Marble,221.515,84.03,No,No,No,Roadways,No,Working Class,No,2621.29875
145,0.92,15.0,,12.96,13.8,Yes,No,No,,No,Wealthy,No,-419.29
146,0.2,12.0,Stone,158.44,45.0,Yes,No,Yes,Airways,No,Working Class,No,754.5
147,0.08,12.0,Brass,4.3,14.28,No,No,Yes,Roadways,No,Working Class,No,155.73
148,0.36,24.0,Stone,221.515,49.47,Yes,No,Yes,Airways,No,Working Class,No,2621.29875
149,0.54,26.0,Marble,221.515,98.75,Yes,Yes,No,Airways,No,Working Class,Yes,-1267.4912499999998
150,0.23,,,221.515,73.37,Yes,Yes,Yes,Airways,No,Working Class,No,-1267.4912499999998
151,,27.0,Clay,5.42,23.48,Yes,Yes,Yes,Airways,Yes,Working Class,,437.59
152,0.56,10.0,Aluminium,6.95,21.3,No,No,Yes,,No,Wealthy,No,281.67
153,0.35,4.0,Clay,3.63,10.06,No,No,No,Roadways,Yes,Working Class,Yes,120.62
154,0.11,,Clay,6.92,11.28,No,No,No,Airways,Yes,Working Class,No,132.45
155,0.54,35.0,Marble,221.515,92.17,Yes,No,Yes,,No,Working Class,No,-1267.4912499999998
156,0.23,,Wood,3.73,11.96,No,No,No,Waterways,No,Working Class,No,115.36
157,0.16,46.0,Brass,221.515,27.43,No,No,No,Roadways,No,Wealthy,,1189.45
158,0.41,6.0,Brass,3.59,22.49,No,No,Yes,Roadways,No,Working Class,No,219.31
159,0.7,19.0,Stone,221.515,35.75,No,Yes,No,Roadways,No,Working Class,No,2621.29875
160,,27.0,Brass,15.37,25.14,Yes,No,Yes,,No,Working Class,No,-285.13
161,0.04,11.0,Marble,6.24,46.95,Yes,No,No,,No,Working Class,No,294.66
162,,9.0,Clay,5.76,14.5,No,Yes,Yes,Airways,Yes,Working Class,Yes,253.71
163,0.59,,Brass,46.95,95.71,No,No,Yes,Roadways,No,Working Class,No,1771.54
164,0.98,18.0,Clay,5.26,16.56,No,No,Yes,Roadways,Yes,Wealthy,Yes,895.17
165,0.79,37.0,Clay,20.53,12.46,No,No,No,Waterways,Yes,Working Class,,563.4
166,0.13,36.0,Wood,6.62,21.91,No,No,No,Roadways,No,Working Class,No,-142.02
167,0.87,3.0,Wood,6.49,21.79,Yes,No,Yes,,No,Working Class,No,398.44
168,0.28,,Brass,221.515,99.29,No,No,No,Waterways,No,Working Class,No,1238.03
169,0.3,5.0,Clay,5.95,18.31,Yes,Yes,No,Airways,Yes,Wealthy,Yes,198.52
170,0.52,26.0,Stone,221.515,64.19,No,No,No,,No,Wealthy,No,2621.29875
171,0.23,49.0,Marble,221.515,77.86,No,No,No,Roadways,Yes,Working Class,No,2621.29875
172,0.23,,Stone,221.515,74.42,No,No,Yes,Waterways,No,Working Class,,1107.9
173,0.67,42.0,Bronze,44.97,93.86,No,No,Yes,,No,Working Class,,2161.82
174,0.16,35.0,Bronze,29.39,29.97,Yes,Yes,No,,No,Working Class,No,339.68
175,0.37,17.0,Clay,3.15,16.4,No,Yes,Yes,Airways,Yes,Wealthy,No,289.07
176,0.56,15.0,Marble,221.515,87.68,No,No,No,,No,Working Class,,1997.0
177,0.92,14.0,Bronze,5.94,11.41,Yes,Yes,Yes,Airways,No,Working Class,No,676.2
178,0.19,14.0,Wood,3.67,20.05,No,No,Yes,,No,Working Class,,159.39
179,0.61,19.0,Marble,55.54,62.66,No,No,Yes,Roadways,No,Wealthy,No,1311.57
180,0.07,20.0,Brass,8.95,75.75,Yes,No,No,Roadways,No,Working Class,No,494.2
181,0.78,13.0,Aluminium,6.05,11.53,No,Yes,Yes,Airways,No,Wealthy,No,458.07
182,0.05,28.0,Aluminium,5.18,20.94,No,No,No,,No,Working Class,No,141.31
183,0.68,19.0,Clay,6.92,10.38,Yes,No,No,,Yes,Wealthy,No,354.55
184,0.29,29.0,Bronze,64.47,63.86,No,Yes,No,Airways,No,Working Class,No,964.7
185,0.79,23.0,Stone,221.515,88.79,No,Yes,No,Roadways,No,Working Class,No,-1267.4912499999998
186,0.93,19.0,Marble,221.515,89.85,No,No,No,Roadways,No,Working Class,No,2621.29875
187,,40.0,,136.45,36.88,No,Yes,No,Airways,No,Wealthy,,1247.79
188,0.5,10.0,Bronze,4.66,24.84,Yes,Yes,Yes,Airways,No,Wealthy,Yes,339.05
189,0.31,19.0,Stone,99.08,61.41,No,No,No,,No,Working Class,No,1011.59
190,0.6,17.0,Bronze,9.64,12.57,Yes,No,Yes,,No,Working Class,No,710.04
191,,,Bronze,38.07,41.96,No,No,No,Roadways,No,Working Class,No,1397.3
192,0.14,48.0,Marble,221.515,79.1,Yes,No,Yes,Waterways,Yes,Working Class,Yes,-1267.4912499999998
193,0.44,48.0,Aluminium,14.65,65.58,No,Yes,No,Airways,No,Working Class,Yes,930.71
194,0.26,13.0,Wood,6.29,20.82,Yes,No,No,Roadways,No,Working Class,No,186.66
195,0.23,18.0,Stone,67.76,47.78,Yes,No,No,,No,Working Class,No,594.73
196,0.65,,Stone,221.515,56.57,No,No,Yes,Roadways,No,Working Class,No,2621.29875
197,,11.0,Bronze,4.7,14.57,No,Yes,No,Airways,No,Wealthy,No,244.97
198,0.2,29.0,Brass,12.0,65.09,No,No,Yes,Roadways,No,Working Class,No,600.01
199,0.26,20.0,Bronze,15.49,23.21,No,No,Yes,Waterways,No,Working Class,No,212.9
200,0.33,14.0,Wood,4.48,22.07,No,No,No,Waterways,No,Working Class,No,174.95
201,0.12,35.0,,8.11,92.82,No,No,No,Roadways,No,Working Class,No,536.15
202,0.14,14.0,,113.21,82.31,No,No,No,Roadways,No,Working Class,No,523.82
203,0.18,11.0,Brass,4.36,19.78,No,No,Yes,Roadways,No,Wealthy,Yes,235.7
204,0.8,42.0,,89.28,96.92,No,No,No,,No,Working Class,No,2621.29875
205,0.49,5.0,Wood,4.55,15.87,No,No,No,Roadways,No,Working Class,No,-155.39
206,0.29,38.0,Stone,221.515,34.32,Yes,Yes,No,Airways,No,Wealthy,No,2621.29875
207,0.2,13.0,Aluminium,5.64,12.78,No,Yes,Yes,Roadways,No,Wealthy,No,181.18
208,0.16,34.0,Marble,171.37,75.61,No,No,No,Airways,No,Wealthy,Yes,-1111.3
209,0.51,19.0,Marble,221.515,35.35,No,No,Yes,Roadways,No,Working Class,No,1860.88
210,0.43,28.0,Aluminium,6.89,12.97,Yes,No,Yes,Waterways,No,Working Class,No,236.08
211,0.29,39.0,Stone,221.515,58.08,Yes,No,Yes,Roadways,No,Working Class,Yes,2621.29875
212,0.81,,Bronze,122.43,32.8,Yes,Yes,Yes,Airways,No,Working Class,,2621.29875
213,0.95,19.0,Brass,14.28,10.03,Yes,Yes,No,,No,Working Class,No,588.69
214,0.63,8.0,,8.7,68.79,No,No,No,,No,Wealthy,,909.54
215,0.1,4.0,Aluminium,4.3,14.36,Yes,Yes,Yes,Airways,No,Wealthy,Yes,156.87
216,0.85,9.0,Clay,6.19,16.54,Yes,Yes,No,Airways,Yes,Working Class,No,549.17
217,0.38,37.0,Brass,191.44,55.02,Yes,Yes,No,Airways,No,Wealthy,No,1480.19
218,,38.0,,221.515,89.46,No,Yes,No,Airways,Yes,Working Class,No,2621.29875
219,0.81,33.0,Brass,221.515,60.9,No,Yes,No,Airways,No,Working Class,Yes,-1267.4912499999998
220,0.69,26.0,Marble,221.515,59.65,No,No,No,Airways,No,Working Class,No,-1267.4912499999998
221,0.3,30.0,Marble,221.515,44.18,No,Yes,No,Roadways,No,Working Class,No,1541.0
222,0.58,7.0,Aluminium,5.78,22.48,No,No,No,Roadways,No,Working Class,No,260.9
223,0.08,5.0,,3.67,22.67,Yes,No,Yes,,No,Working Class,No,-170.99
224,0.1,24.0,Stone,221.515,99.56,Yes,No,No,Waterways,No,Working Class,No,2621.29875
225,,3.0,Marble,3.45,17.64,No,No,No,,No,Working Class,,193.79
226,0.39,11.0,Aluminium,6.65,16.93,No,Yes,Yes,Airways,No,Wealthy,No,252.25
227,0.24,29.0,Clay,5.76,23.47,No,No,No,Roadways,Yes,Working Class,No,208.91
228,0.77,23.0,Brass,37.66,33.25,No,Yes,No,,No,Wealthy,No,1063.2
229,0.72,5.0,,10.28,16.4,No,Yes,Yes,Roadways,No,Working Class,Yes,331.07
230,,7.0,Clay,4.16,19.42,Yes,No,Yes,Waterways,Yes,Working Class,No,143.1
231,0.36,,Aluminium,4.2,19.88,No,Yes,Yes,Airways,No,Working Class,No,287.79
232,0.16,16.0,Marble,97.47,64.08,Yes,Yes,No,Airways,No,Working Class,No,894.77
233,0.64,12.0,Brass,3.23,16.7,No,No,No,Waterways,No,Working Class,No,261.76
234,0.11,21.0,Aluminium,6.18,22.22,No,No,Yes,Roadways,No,Working Class,Yes,183.08
235,0.59,15.0,Marble,96.23,64.48,No,No,No,Waterways,No,Working Class,Yes,2621.29875
236,0.38,22.0,Brass,120.71,56.84,No,Yes,Yes,Roadways,No,Working Class,No,1029.91
237,,26.0,Bronze,11.04,80.27,No,Yes,No,,No,Working Class,Yes,428.17
238,0.26,25.0,Marble,212.71,97.65,Yes,No,Yes,,No,Working Class,No,1198.11
239,,23.0,Brass,18.42,41.49,No,No,Yes,Roadways,No,Working Class,Yes,775.88
240,0.59,24.0,Bronze,41.41,59.21,No,Yes,No,Airways,No,Working Class,No,890.85
241,0.32,5.0,Brass,3.62,20.65,No,Yes,Yes,Roadways,No,Wealthy,Yes,212.88
242,0.95,13.0,Marble,51.32,69.07,No,No,No,Waterways,No,Working Class,Yes,2621.29875
243,0.1,6.0,Wood,4.88,14.58,Yes,No,Yes,Waterways,No,Working Class,No,128.31
244,0.16,6.0,Marble,6.79,11.49,Yes,No,No,Waterways,No,Working Class,Yes,186.27
245,0.17,,Stone,73.91,72.07,Yes,No,Yes,Waterways,No,Working Class,No,596.28
246,0.61,17.0,Aluminium,4.64,15.25,No,No,Yes,Roadways,No,Working Class,No,276.52
247,,44.0,Bronze,217.69,52.56,Yes,No,No,Waterways,No,Working Class,No,1622.53
248,0.72,12.0,Bronze,4.61,17.74,No,Yes,No,Roadways,No,Working Class,Yes,386.83
249,,,,221.515,47.73,No,No,No,Roadways,No,Working Class,,1869.85
250,0.6,25.0,Stone,221.515,36.1,No,Yes,No,Airways,No,Working Class,,2621.29875
251,0.56,23.0,Marble,221.515,39.31,Yes,Yes,Yes,Airways,No,Wealthy,No,2621.29875
252,0.91,8.0,Stone,89.96,48.22,Yes,Yes,No,,No,Wealthy,Yes,-1267.4912499999998
253,0.41,39.0,Brass,17.2,77.14,No,No,No,Roadways,No,Working Class,No,811.22
254,0.44,34.0,Bronze,28.82,30.81,Yes,No,Yes,Airways,No,Working Class,No,719.97
255,0.57,13.0,Aluminium,3.63,13.62,Yes,No,No,Waterways,No,Wealthy,No,-211.36
256,0.37,,Brass,44.84,49.07,Yes,Yes,No,Airways,No,Working Class,No,659.8
257,0.19,20.0,Marble,221.515,67.24,No,No,No,Roadways,No,Working Class,Yes,1984.83
258,0.84,22.0,,221.515,44.56,No,Yes,Yes,Airways,No,Wealthy,No,2621.29875
259,0.8,46.0,Clay,30.62,62.93,No,Yes,Yes,Airways,Yes,Working Class,No,2621.29875
260,0.51,8.0,Clay,6.25,23.85,No,No,No,Roadways,Yes,Wealthy,No,-263.23
261,0.5,29.0,Clay,10.06,22.22,No,Yes,No,Airways,Yes,Working Class,,531.52
262,,32.0,Clay,42.91,57.16,No,No,No,,Yes,Working Class,No,1915.02
263,0.81,19.0,Stone,221.515,89.83,No,Yes,Yes,Roadways,No,Wealthy,No,2621.29875
264,0.86,11.0,Marble,221.515,50.17,No,No,No,,No,Working Class,No,-1267.4912499999998
265,0.46,15.0,Stone,86.39,91.51,No,No,No,Roadways,No,Working Class,No,1671.6
266,0.26,,Brass,103.83,86.08,Yes,No,Yes,Waterways,No,Working Class,No,881.23
267,0.37,7.0,Wood,5.96,12.3,Yes,No,Yes,Airways,No,Working Class,No,138.23
268,,5.0,Clay,5.37,21.42,No,No,No,,Yes,Wealthy,Yes,354.51
269,0.15,28.0,Clay,6.84,13.87,No,No,No,,Yes,Wealthy,Yes,191.05
270,0.82,14.0,Brass,25.33,27.23,No,No,Yes,Roadways,No,Working Class,No,670.98
271,0.16,29.0,Aluminium,4.87,17.43,No,No,Yes,Roadways,No,Working Class,,166.99
272,0.28,15.0,Bronze,6.9,15.82,No,Yes,No,,No,Working Class,No,192.66
273,0.48,22.0,Bronze,8.28,37.96,Yes,No,Yes,Waterways,No,Working Class,No,585.09
274,,12.0,Aluminium,3.01,24.56,No,No,Yes,Waterways,No,Working Class,Yes,275.03
275,0.26,23.0,,5.23,18.98,No,No,No,Roadways,Yes,Working Class,No,180.56
276,,25.0,Wood,5.27,10.47,No,No,Yes,Roadways,No,Working Class,No,371.38
277,0.78,26.0,Brass,155.39,34.22,No,No,Yes,Airways,No,Working Class,Yes,1526.23
278,0.6,15.0,Marble,92.26,41.08,Yes,No,No,Waterways,No,Working Class,No,2621.29875
279,0.63,13.0,Wood,5.81,19.27,No,Yes,Yes,Airways,No,Wealthy,No,362.72
280,0.2,14.0,,3.74,22.03,No,Yes,No,Roadways,No,Wealthy,No,170.33
281,0.74,42.0,Aluminium,5.53,21.51,No,No,No,,No,Working Class,No,591.0
282,0.39,41.0,,221.515,34.73,Yes,No,Yes,Waterways,Yes,Working Class,No,2621.29875
283,1.0,17.0,Bronze,78.37,27.18,No,No,No,Waterways,No,Working Class,Yes,2621.29875
284,0.09,7.0,Clay,4.0,21.12,No,Yes,Yes,,Yes,Wealthy,,186.87
285,0.54,34.0,Brass,221.515,81.09,Yes,No,Yes,,No,Working Class,No,2621.29875
286,0.28,57.0,Wood,6.48,15.89,No,No,No,Roadways,No,Working Class,No,188.91
